1 4243 1253	4327 725
17 4536 745	4308 1359
33 5248 919	4422 1460
49 6765 1104	4853 1863
65 6711 3201	8063 1387
81 10820 1764	8928 4878
97 16794 2261	12608 2261
113 18083 2729	15520 2729
129 21424 3381	19385 8093
145 31938 9194	22691 4008
161 42577 4894	23948 10533
177 61949 5655	31692 5655
193 61890 6761	36999 6761
209 84209 7791	42644 7791
225 91200 8867	34317 16659
241 109607 10038	55170 10038
257 127125 11324	39802 20089
273 139084 12675	42822 21989
289 124083 23939	77403 14062
305 173066 15562	85668 15562
321 196241 17183	52089 28060
337 162867 30271	103634 18854
353 176021 32524	58717 32524
369 253552 22406	62178 34875
385 213706 37356	136177 24368
401 240423 39785	82019 39785
417 257522 42461	169487 28318
433 275171 45151	181849 30465
449 393531 32764	94940 47916
465 312359 50756	207960 35020
481 449927 37380	221663 37380
497 351870 56716	108594 56716
513 510489 43017	251782 43017
529 393664 62981	265456 45047
545 415530 66269	123025 66269
561 607364 50550	296903 50550
577 641913 53511	313356 53511
593 484497 76520	330159 56400
609 713345 59525	347536 59525
625 533413 83835	148734 83835
641 558930 87594	383368 65811
657 827822 69096	402075 69096
673 867853 72511	165209 95349
689 908721 75847	440600 75847
705 665965 103469	460621 79441
721 694355 107623	182395 107623
737 1037411 86758	501946 86758
753 1082277 90451	523194 90451
769 1128315 94447	544938 94447
785 1174829 98278	567253 98278
801 1222584 102337	589911 102337
817 876502 134305	219131 134307
833 1320501 110545	225529 139096
849 941966 143918	660516 114797
865 975494 148837	685024 119229
881 1009722 153853	245419 153853
897 1528748 128105	735131 128105
913 1582799 132639	760995 132639
929 1637987 137369	265881 169320
945 1152409 174636	272961 174636
961 1751284 146838	279945 180016
977 1227227 185505	868608 151819
993 1247714 191042	294418 191042
1009 1928593 161868	925085 161869
1025 1995611 167403	959535 167404
1041 1419363 208097	1018443 172169
1057 1454310 214014	1061407 177419
1073 2247391 185934	1112545 185935
1089 1587281 225972	1161606 208683
1105 1630888 232082	1221346 228612
1121 1675092 238332	437455 238333
1137 2620212 240867	446590 244584
1153 1764622 251022	1382190 247265
1169 1811149 257400	465191 257401
1185 2836589 260019	1453534 260020
1201 2910349 266544	1489852 266545
1217 1952735 277431	1526709 273257
1233 3061052 279844	503541 284111
1249 3137692 286596	1601501 286597
1265 2106793 297975	530795 297976
1281 3342004 300433	581434 305043
1297 3456332 307213	1799614 307214
1313 2334854 319158	1839992 314242
1329 2387592 326418	1881072 321528
1345 2441139 333778	1922267 328741
1361 3788635 336171	670909 341316
1377 3873695 343473	2006362 343474
1393 3960182 351020	693865 356391
1409 2660163 364156	2092221 358680
1425 4135935 366281	717309 371881
1441 4224835 373937	2179862 373938
1457 2831747 387804	2224525 381870
1473 2889401 395758	752923 395759
1489 4498419 397754	2314932 397755
1505 3007959 412075	777230 412076
1521 4685432 413975	2407024 413976
1537 3130610 430236	805714 430237
1553 3189526 437104	814229 437105
1569 4972961 438918	826779 445672
1585 5070662 447322	2596437 447323
1601 5169933 456004	2645115 456005
1617 3440024 471744	864873 471745
1633 3513870 480589	887470 480590
1649 3620862 489344	942958 489345
1665 3688171 498552	956585 498553
1681 5730835 499731	970110 507448
1697 5835849 508868	2999517 508869
1713 3887463 525909	3051564 517894
1729 6048103 527156	3104198 527157
1745 6156122 536377	1025406 544663
1761 4103948 554202	3221321 545838
1777 6431108 555057	1110113 563660
1793 6541833 564768	1124627 573519
1809 6654343 574148	3431389 574149
1825 4434912 592866	3487190 583919
1841 4507381 602765	3543377 593588
1857 6996123 603515	1184449 612851
1873 4654765 622913	1199657 622914
1889 4729062 633083	3714877 623498
1905 4804179 643323	3772878 633499
1921 7465509 643776	1245537 653753
1937 7585608 653929	3890299 653930
1953 7706079 664376	3949686 664377
1969 5110544 685151	1292352 685152
1985 7950127 685188	1307984 695819
2001 8073797 695838	4130458 695839
2017 5346491 717374	1339798 717375
2033 5426319 728313	1355806 728314
2049 8450109 727973	4315259 727974
