1 1	Tiempo: 0.000008
1 2501	Tiempo: 0.000020
1 5001	Tiempo: 0.000030
1 7501	Tiempo: 0.000029
1 10001	Tiempo: 0.000036
1 12501	Tiempo: 0.000044
1 15001	Tiempo: 0.000056
1 17501	Tiempo: 0.000061
1 20001	Tiempo: 0.000075
1 22501	Tiempo: 0.000089
1 25001	Tiempo: 0.000137
1 27501	Tiempo: 0.000158
1 30001	Tiempo: 0.000290
1 32501	Tiempo: 0.000174
1 35001	Tiempo: 0.000138
1 37501	Tiempo: 0.000148
1 40001	Tiempo: 0.000144
1 42501	Tiempo: 0.000204
1 45001	Tiempo: 0.000204
1 47501	Tiempo: 0.000160
1 50001	Tiempo: 0.000166
1 52501	Tiempo: 0.000172
1 55001	Tiempo: 0.000181
1 57501	Tiempo: 0.000190
1 60001	Tiempo: 0.000196
1 62501	Tiempo: 0.000283
1 65001	Tiempo: 0.000233
1 67501	Tiempo: 0.000225
1 70001	Tiempo: 0.000227
1 72501	Tiempo: 0.000177
1 75001	Tiempo: 0.000181
1 77501	Tiempo: 0.000193
1 80001	Tiempo: 0.000248
1 82501	Tiempo: 0.000202
1 85001	Tiempo: 0.000205
1 87501	Tiempo: 0.000212
1 90001	Tiempo: 0.000216
1 92501	Tiempo: 0.000268
1 95001	Tiempo: 0.000358
1 97501	Tiempo: 0.000236
1 100001	Tiempo: 0.000240
2 1	Tiempo: 0.000034
2 2501	Tiempo: 0.000034
2 5001	Tiempo: 0.000051
2 7501	Tiempo: 0.000030
2 10001	Tiempo: 0.000041
2 12501	Tiempo: 0.000037
2 15001	Tiempo: 0.000045
2 17501	Tiempo: 0.000050
2 20001	Tiempo: 0.000051
2 22501	Tiempo: 0.000063
2 25001	Tiempo: 0.000065
2 27501	Tiempo: 0.000068
2 30001	Tiempo: 0.000070
2 32501	Tiempo: 0.000083
2 35001	Tiempo: 0.000079
2 37501	Tiempo: 0.000072
2 40001	Tiempo: 0.000083
2 42501	Tiempo: 0.000086
2 45001	Tiempo: 0.000090
2 47501	Tiempo: 0.000089
2 50001	Tiempo: 0.000104
2 52501	Tiempo: 0.000130
2 55001	Tiempo: 0.000126
2 57501	Tiempo: 0.000106
2 60001	Tiempo: 0.000139
2 62501	Tiempo: 0.000127
2 65001	Tiempo: 0.000151
2 67501	Tiempo: 0.000143
2 70001	Tiempo: 0.000185
2 72501	Tiempo: 0.000173
2 75001	Tiempo: 0.000159
2 77501	Tiempo: 0.000169
2 80001	Tiempo: 0.000169
2 82501	Tiempo: 0.000200
2 85001	Tiempo: 0.000156
2 87501	Tiempo: 0.000161
2 90001	Tiempo: 0.000191
2 92501	Tiempo: 0.000313
2 95001	Tiempo: 0.000191
2 97501	Tiempo: 0.000164
2 100001	Tiempo: 0.000260
3 1	Tiempo: 0.000034
3 2501	Tiempo: 0.000034
3 5001	Tiempo: 0.000041
3 7501	Tiempo: 0.000040
3 10001	Tiempo: 0.000039
3 12501	Tiempo: 0.000048
3 15001	Tiempo: 0.000047
3 17501	Tiempo: 0.001486
3 20001	Tiempo: 0.000061
3 22501	Tiempo: 0.001411
3 25001	Tiempo: 0.000063
3 27501	Tiempo: 0.000060
3 30001	Tiempo: 0.000072
3 32501	Tiempo: 0.000067
3 35001	Tiempo: 0.001531
3 37501	Tiempo: 0.001238
3 40001	Tiempo: 0.000084
3 42501	Tiempo: 0.000092
3 45001	Tiempo: 0.000086
3 47501	Tiempo: 0.000075
3 50001	Tiempo: 0.000083
3 52501	Tiempo: 0.000075
3 55001	Tiempo: 0.001211
3 57501	Tiempo: 0.000337
3 60001	Tiempo: 0.001654
3 62501	Tiempo: 0.000108
3 65001	Tiempo: 0.000095
3 67501	Tiempo: 0.000099
3 70001	Tiempo: 0.000100
3 72501	Tiempo: 0.001435
3 75001	Tiempo: 0.001245
3 77501	Tiempo: 0.001220
3 80001	Tiempo: 0.000345
3 82501	Tiempo: 0.001239
3 85001	Tiempo: 0.000112
3 87501	Tiempo: 0.000833
3 90001	Tiempo: 0.001645
3 92501	Tiempo: 0.001219
3 95001	Tiempo: 0.001276
3 97501	Tiempo: 0.001659
3 100001	Tiempo: 0.002304
4 1	Tiempo: 0.001683
4 2501	Tiempo: 0.002692
4 5001	Tiempo: 0.002290
4 7501	Tiempo: 0.002255
4 10001	Tiempo: 0.000043
4 12501	Tiempo: 0.000053
4 15001	Tiempo: 0.000048
4 17501	Tiempo: 0.001241
4 20001	Tiempo: 0.000057
4 22501	Tiempo: 0.002321
4 25001	Tiempo: 0.000061
4 27501	Tiempo: 0.002200
4 30001	Tiempo: 0.000069
4 32501	Tiempo: 0.001255
4 35001	Tiempo: 0.001957
4 37501	Tiempo: 0.000607
4 40001	Tiempo: 0.000080
4 42501	Tiempo: 0.002249
4 45001	Tiempo: 0.000078
4 47501	Tiempo: 0.002528
4 50001	Tiempo: 0.000107
4 52501	Tiempo: 0.000887
4 55001	Tiempo: 0.000094
4 57501	Tiempo: 0.000104
4 60001	Tiempo: 0.000103
4 62501	Tiempo: 0.000107
4 65001	Tiempo: 0.000999
4 67501	Tiempo: 0.000113
4 70001	Tiempo: 0.000109
4 72501	Tiempo: 0.000109
4 75001	Tiempo: 0.000110
4 77501	Tiempo: 0.004247
4 80001	Tiempo: 0.002419
4 82501	Tiempo: 0.002013
4 85001	Tiempo: 0.001633
4 87501	Tiempo: 0.000156
4 90001	Tiempo: 0.000172
4 92501	Tiempo: 0.001336
4 95001	Tiempo: 0.005663
4 97501	Tiempo: 0.001142
4 100001	Tiempo: 0.001652
