25
A1,A2,Class
Nominal,Nominal,Nominal
miopia,reducida,no
miopia,normal,blandas
miopia,reducida,no
miopia,normal,duras
hipermetropia,reducida,no
hipermetropia,normal,blandas
hipermetropia,reducida,no
hipermetropia,normal,duras
miopia,reducida,no
miopia,normal,blandas
miopia,reducida,no
miopia,normal,duras
hipermetropia,reducida,no
hipermetropia,normal,blandas
hipermetropia,reducida,no
hipermetropia,normal,no
miopia,reducida,no
miopia,normal,no
miopia,reducida,no
miopia,normal,duras
hipermetropia,reducida,no
hipermetropia,normal,blandas
hipermetropia,reducida,no
hipermetropia,normal,no
miopia,normal,blandas
