"V1" "V2" "V3" "V4" "V5"
"1" 85.8061159211187 23.7569140719517 1 1 21
"2" 85.4495484689767 11.1550370614776 1 2 12
"3" 86.1216046595722 29.7996460608221 1 3 20
"4" 86.9314607922278 13.5383184740352 1 4 4
"5" 84.0964688142616 22.5443710575392 1 5 9
"6" 86.6263316794877 20.3166831500455 1 6 6
"7" 84.560339959506 11.8988832185746 1 7 9
"8" 88.6389250740349 23.9537309258049 1 8 18
"9" 88.8588682965455 21.752755457006 1 9 4
"10" 85.4057305348487 16.7998130393559 2 10 4
"11" 86.335002359092 16.9726753519091 1 11 4
"12" 84.3325491251458 13.658259741081 1 12 5
"13" 84.4434740514802 18.9073404549109 1 13 3
"14" 84.5299463815813 15.3390201109781 1 14 1
"15" 83.6957713913539 23.4432365368853 2 15 8
"16" 87.4654036191736 23.5427113303032 1 16 8
"17" 85.8949902732047 19.7490385858145 1 17 3
"18" 88.9422836750033 20.2485672459462 1 18 6
"19" 88.0089151558499 20.2375420809298 1 19 3
"20" 84.7836932484031 16.4553971957644 1 20 1
"21" 83.9950613369149 24.8971306641872 1 21 3
"22" 83.3853168145157 17.0609517004047 1 22 8
"23" 87.6747023347087 18.7155984762879 1 23 4
"24" 84.4715747747964 14.9614560469501 1 24 3
"25" 84.3465240428621 19.2102238379744 1 25 3
"26" 87.2632781921387 18.9572664776054 1 26 7
"27" 85.1640666138797 24.2798479985271 2 27 6
"28" 89.0895386298752 20.2073788704185 1 28 1
"29" 85.2030026094817 16.1632368046291 1 29 2
"30" 83.7845602702088 28.8344450627412 2 30 5
"31" 87.1319272219598 15.1048323090861 1 31 10
"32" 84.4392565246851 31.4087989393203 1 32 9
"33" 87.1288237540129 20.8341410808953 1 33 5
"34" 85.1418676089769 19.5961700942264 1 34 1
"35" 83.7587043490658 12.9252371721034 2 35 2
"36" 86.2035367824036 24.1846522559162 1 36 5
"37" 86.8959964920755 18.5719172529185 1 37 3
"38" 84.2113191650799 21.7408050788353 1 38 5
"39" 83.8156840479882 12.7721186930094 1 39 1
"40" 86.2930755141982 29.3186271153718 1 40 5
"41" 86.3431838326158 22.1803040389226 1 41 6
"42" 86.0080198333199 7.06572029471007 1 42 18
"43" 84.0777297250409 20.4315968563508 1 43 5
"44" 84.0181066257583 18.647916123202 1 44 3
"45" 82.9706547441573 20.7508010292382 1 45 6
"46" 86.7480785947123 17.1819510206004 1 46 5
"47" 83.0028851027312 23.4176866417286 1 47 7
"48" 88.1316644311552 17.077488505949 1 48 7
"49" 87.3766184394922 10.897257354818 1 49 3
"50" 92.5630131295914 17.5757644026486 2 50 8
"51" 89.4729732576666 14.4537648092057 0 51 0
"52" 85.3085386927929 10.9308878092258 1 52 18
