"V1" "V2" "V3" "V4" "V5"
"1" 130.094378306396 121.713047998509 0 1 0
"2" 119.895310507805 122.532105662577 2 2 6
"3" 128.762173316483 122.249862235443 2 3 4
"4" 123.889968002623 122.374004730885 2 4 4
"5" 122.008104594527 121.876172272511 2 5 5
"6" 127.605020749103 122.540583631842 0 6 0
"7" 124.582943156786 122.163278762926 2 7 4
"8" 122.764181639416 122.218687335953 2 8 6
"9" 120.348261772415 121.634809562184 0 9 0
"10" 121.001963724193 122.104099237106 2 10 5
"11" 125.521983031134 122.034975921508 2 11 5
"12" 115.809037121047 121.696118548986 0 12 0
"13" 121.87726612951 121.821174724555 2 13 5
"14" 123.227673283343 122.214935758151 2 14 6
"15" 126.079051562394 122.194578664878 2 15 4
"16" 122.940021142156 121.670188240927 2 16 6
"17" 125.478410121726 121.859732498748 2 17 4
"18" 121.97799027474 121.857345145482 2 18 6
"19" 115.105557700649 121.733247358303 2 19 9
"20" 126.068535586628 122.072561007128 2 20 4
"21" 129.786633546262 121.798342274408 2 21 5
"22" 129.718530252666 121.884456128903 2 22 6
"23" 123.814908173944 121.935829659749 2 23 4
"24" 122.210120164896 122.027957503016 2 24 5
"25" 127.267195624618 122.063588874755 2 25 6
"26" 122.960141991604 122.210478366451 2 26 6
"27" 128.698407069339 122.513409271914 2 27 3
"28" 125.233760515555 122.15775242452 2 28 5
"29" 132.409670500582 121.973314821233 0 29 0
"30" 121.301411984237 121.921131457483 2 30 4
"31" 120.287610169349 122.108021100058 2 31 6
"32" 116.656560563059 121.340107349877 0 32 0
"33" 124.326633854544 121.998024056881 2 33 4
"34" 126.802687742391 122.044770006089 2 34 4
"35" 118.883108265415 121.914690774574 2 35 7
"36" 125.134459342911 122.431185328247 2 36 7
"37" 123.326033046562 122.042835103571 2 37 5
"38" 127.811950898381 121.771549376571 2 38 5
"39" 128.815237125995 122.172663632223 2 39 4
"40" 123.980378294954 122.543372702596 2 40 5
"41" 123.758328689325 122.19112728572 2 41 5
"42" 120.535246382565 122.341731729245 2 42 6
"43" 124.278666247539 122.329892354473 2 43 4
"44" 119.889801911574 122.115254538511 2 44 9
"45" 125.254852513079 121.867680192 2 45 4
"46" 126.344978558534 122.057015182755 2 46 4
"47" 124.332466232192 122.162331443443 2 47 4
"48" 130.977964073562 122.187313145244 2 48 6
"49" 126.721124325512 121.68111749812 2 49 4
"50" 125.273222320062 121.801251735931 2 50 4
"51" 121.598035328378 122.109461969166 2 51 5
"52" 125.928055719885 122.33019781707 2 52 4
"53" 128.395070881024 122.086550671632 2 53 7
"54" 125.835635703428 122.098614200773 2 54 5
"55" 128.013059961069 122.231182068667 2 55 5
"56" 127.603376203697 122.214800416578 2 56 4
"57" 122.350187057187 121.985464770197 2 57 5
"58" 123.839653429231 122.100926230343 2 58 5
"59" 119.139577036949 121.721637616339 2 59 6
"60" 124.158604020093 121.779606557913 2 60 4
"61" 119.425661106699 122.364099788877 2 61 8
"62" 127.608812416785 122.028195973871 2 62 4
"63" 119.83057903701 122.354728847068 2 63 6
"64" 115.281684439691 122.230462236048 2 64 8
"65" 127.67699624168 121.76039249755 2 65 5
"66" 124.033980873599 122.134961371176 2 66 4
"67" 125.676088563323 122.36184362202 2 67 3
"68" 123.981702627684 122.222385667045 2 68 5
"69" 125.964484710605 121.735688853293 2 69 4
"70" 129.035195113171 122.19476264392 2 70 5
"71" 123.367787785433 122.098029897764 2 71 6
"72" 128.845932861019 122.102058040107 2 72 5
"73" 122.148259233343 122.228888523141 2 73 5
"74" 125.546362142139 121.588680786373 0 74 0
"75" 132.498521419176 121.772222253363 0 75 0
"76" 127.956957326934 121.676663268858 2 76 4
"77" 131.393329553569 122.362294635418 0 77 0
"78" 124.870836438802 121.617371958101 2 78 5
"79" 127.921483752335 121.917703401121 2 79 5
"80" 123.24981260147 122.26264153775 2 80 5
"81" 123.4171435998 121.795063807471 2 81 8
"82" 119.630010646371 122.274126678534 2 82 8
"83" 123.816205582884 121.780109233558 2 83 5
"84" 122.989928866109 121.958155854969 2 84 5
"85" 121.752045085387 121.883709521969 2 85 5
"86" 121.698247702364 121.945321469723 2 86 4
"87" 129.559647194347 122.705665323254 2 87 7
"88" 124.554546644297 121.602290095146 2 88 5
"89" 127.826655438078 122.000882784189 2 89 4
"90" 124.059021384534 122.213814556269 2 90 4
"91" 122.418802484497 121.930940653096 2 91 6
"92" 129.086440616098 122.006709892901 2 92 5
"93" 125.090061003451 122.11955309113 2 93 4
"94" 116.223934802015 121.937031953271 0 94 0
"95" 121.594763354254 121.906456429731 2 95 5
"96" 127.06897813313 121.98855277401 0 96 0
"97" 125.996137221865 122.128836006124 2 97 4
"98" 120.380342501217 122.448004548447 2 98 5
"99" 121.215868965845 121.999923928412 2 99 4
"100" 124.782218270958 121.944866251128 2 100 5
"101" 118.789754333483 121.651961263159 2 101 8
"102" 122.891499968912 122.007610925759 2 102 5
"103" 125.92044146023 122.082532101787 2 103 4
"104" 124.099757175747 122.175527985836 2 104 5
"105" 120.906220447405 122.020737296648 2 105 5
"106" 120.851329307434 121.766394693066 2 106 5
"107" 122.824783441437 121.861720218922 2 107 6
"108" 123.667522092239 122.042195515161 2 108 5
"109" 131.648767253655 121.964192628636 2 109 9
"110" 121.470659391289 121.494924941553 2 110 6
"111" 125.275542767487 122.128423003008 2 111 5
"112" 127.039631091973 121.599202187578 2 112 4
"113" 126.408057255481 121.662705743629 2 113 5
"114" 127.132914464399 122.186626055611 0 114 0
"115" 125.017237548413 122.330562120653 2 115 5
"116" 124.052541744286 122.162535280428 2 116 5
"117" 125.875100250423 121.915210584801 2 117 5
"118" 125.526484579751 121.371124154258 2 118 7
"119" 122.13246512048 122.557576459994 2 119 5
"120" 128.215671267404 122.034434833954 2 120 6
"121" 133.744383875085 121.6786499729 2 121 8
"122" 123.087958585023 122.169911153328 2 122 6
"123" 123.623986882277 123.013410151285 2 123 6
"124" 121.295386849248 122.025589063315 2 124 4
"125" 121.885257647318 122.152390109231 2 125 6
"126" 122.691673647708 121.979325093946 2 126 6
"127" 121.719513279017 122.149736203449 2 127 5
"128" 126.314289650834 121.948562123507 2 128 3
"129" 120.026008829623 121.467912795403 2 129 10
"130" 119.474340148623 121.485895500512 0 130 0
"131" 120.346396740381 121.950640361233 2 131 7
"132" 120.134614378236 122.153443962741 2 132 8
"133" 122.965915598172 122.043012385939 2 133 4
"134" 129.104561520648 121.710055555613 2 134 5
"135" 123.20102394243 122.737238959276 2 135 4
"136" 128.153417279354 122.011243342462 2 136 5
"137" 126.32592353482 122.058072021107 2 137 3
"138" 125.900629586958 121.695613566181 2 138 3
"139" 128.749123944181 121.906205943779 2 139 5
"140" 124.463572034382 122.271015726757 2 140 4
"141" 116.328780147001 122.48063619055 0 141 0
"142" 121.31094384355 121.95772666111 2 142 3
"143" 122.197755883532 121.983931949145 2 143 4
"144" 126.817383621348 121.728597998526 2 144 5
"145" 129.05261823434 122.207298711894 2 145 6
"146" 128.922433329229 121.907704584047 2 146 6
"147" 115.865931579867 121.687356089483 0 147 0
"148" 126.096734169534 122.215704091272 2 148 4
"149" 121.171720456907 122.559706052415 2 149 7
"150" 126.216321545901 122.249209300513 2 150 4
"151" 125.289617222149 121.964286007305 2 151 3
"152" 120.81837334196 122.26555851752 2 152 7
"153" 121.727747044932 122.295284591201 2 153 5
"154" 122.481253954681 122.081379252553 2 154 6
"155" 126.428318538808 122.36248703041 2 155 2
"156" 120.130460085035 122.197918933923 2 156 7
"157" 128.17408503944 122.085014587428 2 157 5
"158" 119.613745606688 122.290809677921 2 158 7
"159" 131.623291286662 122.053206021944 2 159 8
"160" 127.876979619781 122.132883830039 2 160 6
"161" 123.040246627847 121.820458875627 2 161 6
"162" 127.381872862229 122.539647719167 2 162 5
"163" 126.278628810484 122.213082971338 2 163 3
"164" 126.82230080928 122.226858264223 2 164 4
"165" 123.859922345086 121.772112765566 2 165 4
"166" 127.968787197481 122.045521332883 2 166 4
"167" 126.864351163397 122.122082777464 2 167 3
"168" 121.419816022819 122.187730506032 2 168 6
"169" 130.191720475988 122.183345270711 2 169 12
"170" 122.478177617754 122.091545466237 2 170 6
"171" 118.326596772048 121.700085216306 2 171 6
"172" 119.723811830098 121.967713331307 2 172 10
"173" 124.987750010654 122.229470553722 2 173 5
"174" 127.502542129647 121.88996768288 2 174 6
"175" 124.847425707057 122.333161497135 2 175 7
"176" 124.082867457873 121.919007156941 2 176 5
"177" 123.978426680485 122.066519512023 2 177 4
"178" 125.514462872035 122.365535358894 2 178 4
"179" 123.433480857642 122.058722424024 2 179 6
"180" 125.913844743218 121.911152371339 2 180 4
"181" 124.614198375935 121.370926013768 2 181 7
"182" 124.507570121736 122.157067321872 2 182 4
"183" 121.907702517105 122.118947484175 2 183 5
"184" 125.417982337264 121.999103313023 2 184 4
"185" 125.874732350884 122.427147200515 2 185 4
"186" 124.424621005037 122.476610917353 2 186 5
"187" 124.438984225675 122.136929665987 2 187 3
"188" 121.062577380425 121.917684995396 2 188 5
"189" 123.674863721538 122.076152514568 2 189 4
"190" 120.79339227807 122.304960822091 2 190 6
"191" 125.56580720799 122.210206372083 2 191 4
"192" 119.191028066386 122.123068363947 2 192 7
"193" 127.819400226061 121.908807746925 2 193 5
"194" 123.080746511099 121.754505725058 2 194 5
"195" 127.822804250363 121.814044308217 2 195 4
"196" 121.834859291934 121.467757370192 2 196 7
"197" 127.733279255481 121.857720023926 2 197 5
"198" 122.176171481201 121.703440954015 2 198 5
"199" 123.047154929399 122.27230172493 2 199 6
"200" 128.696317970156 121.998842859731 2 200 6
"201" 126.560240497743 121.929326257007 2 201 4
"202" 126.177478349659 122.123217956584 2 202 3
"203" 130.837379464736 122.441568693599 2 203 5
"204" 125.523874728749 122.016518398117 2 204 4
"205" 126.602991547047 122.561416836477 2 205 3
"206" 125.914148389933 121.773901972802 2 206 4
"207" 121.372417431002 121.695945055992 2 207 5
"208" 114.200785462254 122.021151878473 2 208 10
"209" 120.561841682476 121.922847061317 2 209 8
"210" 127.47286941329 121.270113413465 2 210 6
"211" 118.975459998582 122.191802432342 0 211 0
"212" 124.55194136402 122.050022593996 2 212 4
"213" 127.200356644654 122.320706088748 2 213 5
"214" 118.588056208548 121.428105213014 0 214 0
"215" 124.958792716562 122.407453659607 2 215 5
"216" 125.911033868128 122.216553017868 2 216 5
"217" 126.557134722666 121.638043988398 2 217 3
"218" 125.036139779806 122.225519339025 2 218 4
"219" 119.960895251165 121.841360112292 2 219 9
"220" 122.157620908781 121.918863143079 2 220 4
"221" 121.742282844374 121.962411960945 2 221 4
"222" 125.620971766366 121.888677733078 2 222 5
"223" 124.46808450455 122.257058489147 2 223 4
"224" 125.686818228756 122.550643743942 0 224 0
"225" 124.280680789175 122.006193295694 2 225 5
"226" 123.291934274486 122.065824502528 2 226 6
"227" 121.835210997303 121.800995318549 2 227 6
"228" 126.146264322016 122.089890255663 2 228 3
"229" 122.571048247638 122.103724890488 2 229 5
"230" 122.484087194241 122.358901951347 2 230 4
"231" 120.705090182727 122.124449832144 2 231 5
"232" 123.850013231735 121.865723393617 2 232 5
"233" 124.419836196967 121.778180608691 2 233 4
"234" 124.100579859061 121.719124062992 2 234 3
"235" 119.168069079621 122.34631125893 2 235 7
"236" 121.793407548684 122.062098176107 2 236 5
"237" 124.97835091101 122.542670105218 2 237 6
"238" 122.875426826745 122.402353001157 2 238 8
"239" 122.238683116435 122.364822636014 2 239 5
"240" 126.36319463919 121.929771756005 2 240 4
"241" 120.859501544178 121.385147913497 2 241 6
"242" 121.109616946769 122.034848509887 2 242 4
"243" 121.59678586919 121.98939936377 2 243 4
"244" 122.793292157912 122.333546794233 2 244 7
"245" 118.822963520165 122.04320927106 2 245 7
"246" 126.856101996474 122.362932056546 2 246 4
"247" 122.241151457569 121.986387046624 2 247 5
"248" 117.044197100413 122.647147842496 2 248 8
"249" 128.999967100111 122.618509550979 2 249 6
"250" 128.285551202915 122.236408828916 2 250 7
"251" 121.357484109209 122.476410727065 2 251 6
"252" 125.00056553387 121.62833427512 2 252 4
"253" 130.544842520982 121.894140083667 2 253 7
"254" 123.125593754624 122.355047912337 2 254 5
"255" 133.471556635769 122.078206337784 2 255 8
"256" 122.984468688293 122.344711667147 2 256 6
"257" 130.744097968448 121.535674525411 2 257 8
"258" 124.23889737544 122.20689513847 2 258 5
"259" 120.341509185253 121.671495255012 0 259 0
"260" 125.329090336642 122.162701815026 2 260 6
"261" 115.529702013375 121.729777400782 0 261 0
"262" 125.402489822058 121.888666734546 2 262 3
"263" 123.736761195468 122.27041125761 2 263 5
"264" 118.452871653194 122.350846830876 2 264 8
"265" 124.208396198318 121.805469088865 2 265 4
"266" 120.389670256956 122.04231242013 2 266 6
"267" 62.9431844149675 52.7187501904359 0 267 0
"268" 74.1665422175283 53.6245010094244 2 268 3
"269" 71.3365037671388 52.61211332774 2 269 8
"270" 64.8251761976488 53.2297288028887 2 270 1
"271" 71.0458940581151 53.5891105890209 2 271 8
"272" 64.1213959206078 52.3596135017651 2 272 3
"273" 68.6122620323516 49.9506655255785 2 273 4
"274" 68.7009421543567 48.2156483102618 2 274 4
"275" 67.8227491037757 46.6216711054832 2 275 5
"276" 69.2075088562898 46.4397267471418 2 276 3
"277" 69.0989945250691 49.0586503155748 0 277 0
"278" 67.5358342872954 50.5847424031107 2 278 4
"279" 64.7621159226143 47.4560014546574 2 279 5
"280" 66.6979340675677 42.0358705094361 2 280 7
"281" 64.1249000339891 44.2804541903355 2 281 5
"282" 67.5221595876112 43.0369506715064 2 282 13
"283" 64.9896638778685 48.0610360467085 2 283 3
"284" 66.2281526852144 52.812644682961 2 284 8
