"V1" "V2" "V3" "V4" "V5"
"1" 348.40822336968 981.145199985773 2 1 4
"2" 347.209628206602 987.508764176616 2 2 3
"3" 346.927262446216 987.548052162462 2 3 7
"4" 346.40573368662 979.758474493866 2 4 2
"5" 347.586871321318 976.820032033794 2 5 2
"6" 345.227930177788 980.291309634642 2 6 3
"7" 348.399266601184 982.596571740601 2 7 2
"8" 346.682467780606 984.122414094253 2 8 4
"9" 346.182218492956 980.628071747446 2 9 3
"10" 346.853467034487 978.237195485304 2 10 3
"11" 344.397807285807 982.543401163663 2 11 4
"12" 344.941904990232 985.100414787671 2 12 5
"13" 344.83440525337 976.13327363678 2 13 3
"14" 344.99585023261 975.484042741741 2 14 4
"15" 347.705900314103 989.731274125854 2 15 2
"16" 347.038948319021 980.631313211368 2 16 3
"17" 347.132935570221 982.718885722685 2 17 3
"18" 345.663618572035 983.580376362611 2 18 3
"19" 347.272389919063 976.316633556754 2 19 2
"20" 347.037896896023 971.739815914075 2 20 3
"21" 342.864745947276 974.961148716758 0 21 0
"22" 347.17103959363 979.113879662814 2 22 2
"23" 347.126381445072 977.604100289622 2 23 2
"24" 342.975973960005 984.676596516433 2 24 5
"25" 344.777579972928 976.695877067994 2 25 2
"26" 346.741100785851 981.968103008452 2 26 4
"27" 347.062503297564 976.70612236354 2 27 2
"28" 346.43490386397 976.637859951771 2 28 3
"29" 341.092719932019 985.75499450286 0 29 0
"30" 347.101686729682 983.353823432803 2 30 4
"31" 347.791007604511 978.373939821865 2 31 3
"32" 346.865671690368 971.781201403959 2 32 4
"33" 345.811660859378 968.079483619013 2 33 6
"34" 347.496742941549 981.580847771074 2 34 4
"35" 345.697373051772 982.116359396831 2 35 3
"36" 345.383615885854 982.07469253687 2 36 3
"37" 346.124767330588 979.210301011524 2 37 2
"38" 346.55780589868 977.781297801611 2 38 3
"39" 345.367797209336 979.701785250041 2 39 3
"40" 347.668532918634 980.042701259778 2 40 3
"41" 348.785684779626 988.28690258039 0 41 0
"42" 345.264917568715 987.009068641113 2 42 5
"43" 343.885406680325 984.937997719087 2 43 3
"44" 345.428555203978 986.171267296098 2 44 4
"45" 344.484837438258 982.89095056347 2 45 4
"46" 345.56616745748 983.720490771425 2 46 3
"47" 347.575036809937 974.980100585847 2 47 2
"48" 346.394601000249 989.372576461129 2 48 8
"49" 348.002175175405 979.620585572821 2 49 2
"50" 346.156926706159 983.478826707618 2 50 3
"51" 348.030313215204 983.57969380454 2 51 3
"52" 346.267317235633 980.430349113053 2 52 2
"53" 344.140856726517 984.938338644336 2 53 6
"54" 346.555812799157 985.590053960242 2 54 5
"55" 345.65783418171 977.359527870576 2 55 2
"56" 347.239935186334 976.74687315199 2 56 3
"57" 347.329655712894 986.081574638058 2 57 3
"58" 345.666251461888 992.99423316633 2 58 8
"59" 348.039898762362 979.761130703965 2 59 2
"60" 343.915274761461 982.497926494276 2 60 4
"61" 346.368432203453 981.577899259218 2 61 2
"62" 349.06821552541 986.682204233072 2 62 2
"63" 345.297099607183 986.175229819007 2 63 5
"64" 346.06674271734 985.334974812758 2 64 4
"65" 344.927203933691 981.906728819172 2 65 4
"66" 346.082215030144 976.234120869772 2 66 3
"67" 348.551387098787 978.242017357491 2 67 4
"68" 346.039750109484 984.256523627198 2 68 2
"69" 345.893362204383 984.513241736963 2 69 1
"70" 348.891676762178 983.342718545009 2 70 5
"71" 346.007356220443 976.340101183248 2 71 2
"72" 344.972709759696 981.473585039336 2 72 2
"73" 346.403619361364 981.235363981608 2 73 3
"74" 345.152017417108 977.700874662072 2 74 3
"75" 349.08643984678 981.482316945332 2 75 3
"76" 343.695823506721 983.406837126453 2 76 11
"77" 344.461571728367 983.106348271412 2 77 5
"78" 346.560900567885 971.986724139055 2 78 3
"79" 347.80896305257 976.382918759765 2 79 2
"80" 344.883353509145 981.266760517699 2 80 2
"81" 348.513967463476 977.596980479496 2 81 3
"82" 347.273871276682 977.609503685322 2 82 3
