1 11584 2222	11586 2220
17 12893 2460	12831 2458
33 17140 3100	16199 3098
49 24134 4167	21990 4165
65 33711 6492	29946 6490
81 46631 9419	40829 9417
97 65700 11984	57307 11982
113 85219 14922	73847 14920
129 105350 18316	90568 18314
145 130457 21949	111933 21947
161 154705 26069	131858 26067
177 181242 30615	153620 30613
193 210002 35659	177153 35657
209 240975 40946	202447 40944
225 275383 46611	230724 46609
241 318127 52516	266885 52514
257 363420 58974	305372 58972
273 407897 65447	342164 65445
289 454401 72637	380729 72635
305 505509 80955	423461 80953
321 558468 93575	467577 93573
337 616844 106060	516904 106058
353 689423 114982	579816 114980
369 754805 124339	635016 124337
385 816208 134453	686093 134451
401 887254 144435	745377 144433
417 951137 155280	797706 155278
433 1016785 166474	851763 166472
449 1085065 178087	907601 178085
465 1155616 190017	965258 190015
481 1231002 202294	1027298 202292
497 1320980 214594	1103478 214592
513 1412958 227627	1181660 227625
529 1500440 240387	1254017 240385
545 1589384 254147	1327807 254145
561 1684576 269660	1407408 269658
577 1780916 292554	1487690 292552
593 1884705 314531	1575410 314529
609 2010989 329896	1684857 329894
625 2122119 345697	1778590 345695
641 2224774 362516	1863914 362514
657 2341612 378843	1961325 378841
673 2445039 396348	2045983 396346
689 2550067 414199	2132445 414197
705 2657870 432469	2220591 432467
721 2767923 451008	2310535 451006
737 2884426 469951	2406477 469949
753 3021586 488633	2522624 488631
769 3160251 508246	2640503 508244
785 3290694 527273	2748381 527271
801 3422109 547600	2857427 547598
817 3561404 570305	2973918 570305
833 3701119 603494	3090360 603494
849 3850261 634947	3216411 634945
865 4030292 656756	3372435 656754
881 4187194 679004	3504725 679002
897 4331086 702549	3624281 702547
913 4493784 725229	3759887 725227
929 4636715 749359	3876834 749357
945 4781073 773851	3995651 773849
961 4928396 798812	4116102 798810
977 5078017 823982	4238399 823980
993 5235507 849519	4368113 849517
1009 5419969 874562	4524347 874561
1025 5605318 900773	4681920 900772
1041 5778788 926082	4825385 926081
1057 5952561 952955	4969574 952954
1073 6135988 982873	5122980 982872
1089 6319059 1026300	5275563 1026299
1105 6513723 1067305	5440118 1067304
1121 6747338 1095516	5642556 1095515
1137 6950053 1124203	5813444 1124202
1153 7135161 1154477	5967211 1154476
1169 7343683 1183504	6140976 1183503
1185 7526159 1214301	6290253 1214300
1201 7709848 1245424	6441426 1245423
1217 7896634 1277020	6594125 1277019
1233 8085999 1308893	6748951 1308892
1249 8284387 1341020	6912348 1341019
1265 8516066 1372504	7108584 1372503
1281 8748075 1405297	7305827 1405296
1297 8964512 1436871	7484819 1436870
1313 9180763 1470313	7664271 1470312
1329 9408289 1507445	7854561 1507444
1345 9634679 1561126	8043248 1561125
1361 9874906 1611656	8246346 1611655
1377 10162097 1646282	8495190 1646281
1393 10410616 1681414	8704667 1681413
1409 10636959 1718414	8892664 1718413
1425 10891218 1753767	9104501 1753766
1441 11113305 1791227	9286174 1791226
1457 11336302 1828997	9469680 1828996
1473 11562667 1867299	9654743 1867298
1489 11791597 1905763	9841919 1905762
1505 12030982 1944498	10039098 1944497
1521 12309894 1982393	10275352 1982392
1537 12588592 2021785	10512294 2021784
1553 12847991 2059611	10726808 2059610
1569 13106675 2099628	10941478 2099627
1585 13378281 2143930	11168633 2143929
1601 13648188 2207929	11393622 2207928
1617 13933716 2267950	11635001 2267949
1633 14274588 2308983	11930356 2308982
1649 14568908 2350574	12178419 2350573
1665 14836498 2394305	12400658 2394304
1681 15136579 2435998	12650652 2435997
1697 15398191 2480096	12864635 2480095
1713 15660464 2524493	13080442 2524492
1729 15926529 2569524	13297990 2569523
1745 16194922 2614593	13517414 2614592
1761 16475298 2659937	13748369 2659936
1777 16801465 2704234	14024663 2704233
1793 17126841 2750214	14301293 2750213
1809 17429222 2794304	14551349 2794303
1825 17730329 2840897	14801227 2840896
1841 18046063 2892405	15065295 2892404
1857 18359331 2966664	15326430 2966663
1873 18690302 3036198	15606232 3036197
1889 19084818 3083646	15948061 3083645
1905 19424946 3131685	16234717 3131684
1921 19733757 3182133	16491172 3182132
1937 20079666 3230158	16779329 3230157
1953 20380776 3280923	17025595 3280922
1969 20682499 3332006	17273877 3332005
1985 20987969 3383643	17523615 3383642
2001 21295995 3435365	17775457 3435364
2017 21617360 3487321	18040186 3487320
2033 21990784 3538042	18356522 3538041
2049 22362814 3590592	18672816 3590591
