1 8554 1885	8556 1884
17 9412 2081	9414 2080
33 11417 2450	11211 2449
49 16066 3111	14247 3110
65 22312 4935	18359 4934
81 29999 7175	24185 7174
97 43512 8952	34624 8951
113 55898 10855	43846 10854
129 67003 13043	51305 13042
145 79107 15456	59380 15455
161 92429 18054	67967 18053
177 106706 20958	77280 20957
193 122043 24102	87109 24101
209 138701 27434	97587 27433
225 157428 30924	109919 30923
241 183612 34635	129160 34634
257 212125 38619	150337 38618
273 240567 42642	170749 42641
289 264365 47080	185650 47079
305 288708 51725	201223 51724
321 314434 56666	217343 56665
337 340899 61725	234075 61724
353 368487 67105	251413 67104
369 397278 72613	269347 72612
385 429411 78514	290122 78513
401 470859 84318	319526 84317
417 503139 90585	339707 90584
433 536877 97114	360660 97113
449 571476 103774	381973 103773
465 607388 110744	404136 110743
481 644162 117833	426660 117832
497 682233 125276	450018 125275
513 724575 133415	477615 133414
529 778744 140479	515653 140478
545 826853 148491	547600 148490
561 880108 158192	584198 158191
577 933465 175524	620444 175523
593 993043 191676	662917 191675
609 1074977 200925	726552 200924
625 1139498 210291	772809 210290
641 1190507 220359	804460 220358
657 1242361 230361	836736 230360
673 1295156 240759	869559 240758
689 1348835 251366	903015 251365
705 1403355 262147	936952 262146
721 1459885 273186	971639 273185
737 1520885 284353	1011108 284352
753 1603017 295546	1070417 295545
769 1687083 307422	1132648 307421
785 1767827 318502	1189054 318501
801 1831272 330694	1228195 330693
817 1894894 343030	1267913 343031
833 1960474 355758	1308224 355759
849 2026218 368458	1349099 368459
865 2093233 381605	1390695 381604
881 2161555 394804	1432768 394803
897 2236207 408460	1480655 408459
913 2330503 421742	1547244 421741
929 2402072 435717	1591578 435716
945 2475429 449972	1636743 449971
961 2549548 464374	1682184 464373
977 2625090 479042	1728570 479041
993 2701420 493851	1775258 493850
1009 2779166 508916	1822884 508916
1025 2864412 525337	1878458 525337
1041 2971571 539261	1953629 539261
1057 3065263 554922	2015752 554922
1073 3167460 573638	2085900 573638
1089 3268333 606433	2154255 606433
1105 3379510 636464	2233386 636464
1121 3530229 653233	2350204 653233
1137 3646940 670069	2433515 670069
1153 3737727 687963	2489281 687963
1169 3829348 705651	2545917 705651
1185 3921618 723743	2602823 723743
1201 4014752 742085	2660567 742085
1217 4108456 760588	2718552 760588
1233 4204963 779356	2777553 779356
1249 4308150 798169	2844073 798169
1265 4446082 816850	2943519 816850
1281 4585847 836630	3046747 836630
1297 4718717 854775	3139213 854775
1313 4821997 874706	3202526 874706
1329 4924878 894722	3266365 894722
1345 5030304 915217	3330859 915217
1361 5135421 935590	3395971 935590
1377 5241780 956492	3461746 956492
1393 5349635 977367	3527960 977367
1409 5466795 998802	3602948 998802
1425 5614010 1019557	3706793 1019557
1441 5724815 1041240	3775227 1041240
1457 5837815 1063224	3844628 1063224
1473 5951386 1085338	3914129 1085338
1489 6066667 1107728	3984847 1107728
1505 6182479 1130242	4055625 1130242
1521 6299828 1153142	4127447 1153142
1537 6427915 1177827	4210935 1177827
1553 6588106 1198610	4323281 1198610
1569 6727387 1221934	4415586 1221934
1585 6878507 1249664	4519265 1249664
1601 7026963 1297940	4619796 1297940
1617 7189638 1341826	4735484 1341826
1633 7409181 1366108	4905524 1366108
1649 7578075 1390445	5025882 1390445
1665 7708718 1416164	5105841 1416164
1681 7839965 1441497	5186696 1441497
1697 7971788 1467287	5267763 1467287
1713 8104271 1493352	5349689 1493352
1729 8237292 1519613	5431855 1519613
1745 8373666 1546075	5515060 1546075
1761 8519121 1572548	5608712 1572548
1777 8712797 1598718	5748239 1598718
1793 8908306 1626395	5892509 1626395
1809 9093260 1651600	6020993 1651600
1825 9236392 1679289	6108495 1679289
1841 9378577 1706985	6196502 1706985
1857 9523921 1735272	6285251 1735272
1873 9668283 1763296	6374472 1763296
1889 9814003 1791939	6464441 1791939
1905 9961405 1820501	6554810 1820501
1921 10121143 1849717	6656969 1849717
1937 10321176 1877942	6797969 1877942
1953 10471255 1907344	6890541 1907344
1969 10623902 1937055	6984182 1937055
1985 10776983 1966895	7077801 1966895
2001 10931901 1997000	7172749 1997000
2017 11087270 2027229	7267692 2027229
2033 11244228 2057842	7363716 2057842
2049 11415181 2090792	7475143 2090792
