seg: 0	tam: 43944
seg: 1	tam: 24160
seg: 2	tam: 41448
seg: 3	tam: 44672
seg: 4	tam: 62920
seg: 5	tam: 36080
seg: 6	tam: 670032
seg: 7	tam: 736376
seg: 8	tam: 3101296
seg: 9	tam: 772392
seg: 10	tam: 1114608
seg: 11	tam: 12354160
seg: 12	tam: 10111504
seg: 13	tam: 4148464
seg: 14	tam: 618208
seg: 15	tam: 529680
seg: 16	tam: 1597792
seg: 17	tam: 873760
seg: 18	tam: 15427232
seg: 19	tam: 1693048
seg: 20	tam: 1171960
seg: 21	tam: 47632
seg: 22	tam: 63120
seg: 23	tam: 51528
seg: 24	tam: 57472
seg: 25	tam: 491376
seg: 26	tam: 3931072
seg: 27	tam: 16960
seg: 28	tam: 34704
seg: 29	tam: 45392
seg: 30	tam: 44928
seg: 31	tam: 30136
seg: 32	tam: 26584
seg: 33	tam: 9488
seg: 34	tam: 44640
seg: 35	tam: 44592
seg: 36	tam: 49360
seg: 37	tam: 29656
seg: 38	tam: 77656
seg: 39	tam: 72968
seg: 40	tam: 46560
seg: 41	tam: 78920
seg: 42	tam: 84648
seg: 43	tam: 38040
seg: 44	tam: 50520
seg: 45	tam: 68168
seg: 46	tam: 71536
seg: 47	tam: 49192
seg: 48	tam: 74520
seg: 49	tam: 81680
seg: 50	tam: 8304
seg: 51	tam: 24568
seg: 52	tam: 143936
seg: 53	tam: 212808
seg: 54	tam: 275376
seg: 55	tam: 256952
seg: 56	tam: 226248
seg: 57	tam: 210248
seg: 58	tam: 131248
seg: 59	tam: 238584
seg: 60	tam: 133288
seg: 61	tam: 132040
seg: 62	tam: 132248
seg: 63	tam: 117312
seg: 64	tam: 142776
seg: 65	tam: 138112
seg: 66	tam: 139024
seg: 67	tam: 28448
seg: 68	tam: 77952
seg: 69	tam: 70408
seg: 70	tam: 47136
seg: 71	tam: 40672
seg: 72	tam: 28608
seg: 73	tam: 109368
seg: 74	tam: 77728
seg: 75	tam: 40544
seg: 76	tam: 102144
seg: 77	tam: 31280
seg: 78	tam: 51224
seg: 79	tam: 75560
seg: 80	tam: 28592
seg: 81	tam: 17896
seg: 82	tam: 75592
seg: 83	tam: 26176
seg: 84	tam: 47672
seg: 85	tam: 26856
seg: 86	tam: 20192
seg: 87	tam: 17528
seg: 88	tam: 32056
seg: 89	tam: 45264
seg: 90	tam: 53856
seg: 91	tam: 42272
seg: 92	tam: 39552
seg: 93	tam: 12024
